Season,Land Type,Soil Type,Water Source,Land Size,Previous Crop,Suggested Crop
Winter,Coastal,Clay,Rainfed,3.4,Wheat,Mustard
Winter,Coastal,Clay,Rainfed,42.6,Cotton,Mustard
Winter,Plain,Silt,Groundwater,15.8,Rice,Pea
Monsoon,Plain,Sandy,Groundwater,10.9,Wheat,Soybean
Winter,Hilly,Sandy,Groundwater,16.5,Sugarcane,Barley
Summer,Plain,Clay,Groundwater,27.2,Rice,Rice
Monsoon,Plain,Loam,Rainfed,1.3,Rice,Rice
Summer,Coastal,Sandy,Irrigated,49.4,Corn,Cotton
Winter,Hilly,Silt,Irrigated,18.4,Sugarcane,Pea
Monsoon,Hilly,Loam,Irrigated,48.0,Wheat,Rice
Summer,Coastal,Silt,Groundwater,36.3,Soybean,Sugarcane
Summer,Plain,Silt,Irrigated,46.9,Corn,Sugarcane
Summer,Coastal,Loam,Groundwater,2.6,Rice,Maize
Monsoon,Coastal,Clay,Rainfed,47.6,Wheat,Paddy
Winter,Coastal,Sandy,Groundwater,29.0,Corn,Barley
Winter,Plain,Silt,Rainfed,43.4,Wheat,Pea
Monsoon,Coastal,Sandy,Rainfed,3.5,Corn,Soybean
Winter,Coastal,Sandy,Irrigated,39.4,Corn,Barley
Summer,Plain,Clay,Rainfed,35.7,Corn,Rice
Summer,Plain,Silt,Irrigated,19.9,Cotton,Sugarcane
Winter,Hilly,Clay,Rainfed,38.3,Cotton,Mustard
Summer,Coastal,Sandy,Rainfed,12.3,Corn,Cotton
Monsoon,Plain,Clay,Rainfed,37.2,Rice,Paddy
Monsoon,Plain,Silt,Rainfed,35.6,Cotton,Groundnut
Summer,Coastal,Sandy,Irrigated,6.1,Wheat,Cotton
Summer,Plain,Sandy,Groundwater,5.4,Cotton,Cotton
Summer,Hilly,Sandy,Rainfed,28.6,Wheat,Cotton
Summer,Hilly,Loam,Irrigated,2.9,Sugarcane,Maize
Monsoon,Hilly,Loam,Groundwater,15.2,Sugarcane,Rice
Monsoon,Hilly,Clay,Irrigated,46.7,Cotton,Paddy
Monsoon,Coastal,Sandy,Groundwater,17.4,Cotton,Soybean
Winter,Hilly,Loam,Rainfed,6.1,Wheat,Wheat
Monsoon,Hilly,Loam,Irrigated,18.1,Sugarcane,Rice
Winter,Coastal,Sandy,Irrigated,11.7,Cotton,Barley
Monsoon,Hilly,Loam,Irrigated,30.1,Soybean,Rice
Monsoon,Hilly,Sandy,Irrigated,44.3,Wheat,Soybean
Summer,Plain,Clay,Irrigated,12.0,Soybean,Rice
Summer,Plain,Sandy,Rainfed,34.1,Wheat,Cotton
Monsoon,Plain,Loam,Rainfed,43.7,Wheat,Rice
Winter,Hilly,Clay,Irrigated,2.1,Wheat,Mustard
Monsoon,Coastal,Sandy,Rainfed,33.9,Cotton,Soybean
Summer,Plain,Clay,Irrigated,27.5,Sugarcane,Rice
Monsoon,Plain,Loam,Irrigated,24.4,Sugarcane,Rice
Monsoon,Coastal,Loam,Irrigated,44.4,Cotton,Rice
Summer,Coastal,Clay,Irrigated,29.3,Wheat,Rice
Monsoon,Hilly,Silt,Groundwater,17.4,Sugarcane,Groundnut
Monsoon,Coastal,Loam,Irrigated,41.2,Soybean,Rice
Monsoon,Plain,Sandy,Irrigated,31.2,Sugarcane,Soybean
Summer,Plain,Clay,Irrigated,29.4,Sugarcane,Rice
Winter,Hilly,Sandy,Rainfed,40.1,Cotton,Barley
Summer,Coastal,Sandy,Rainfed,31.0,Cotton,Cotton
Winter,Hilly,Clay,Irrigated,31.0,Cotton,Mustard
Summer,Coastal,Loam,Rainfed,19.2,Sugarcane,Maize
Winter,Coastal,Sandy,Groundwater,17.7,Corn,Barley
Monsoon,Hilly,Silt,Irrigated,49.0,Sugarcane,Groundnut
Summer,Coastal,Silt,Rainfed,49.8,Cotton,Sugarcane
Winter,Hilly,Loam,Irrigated,35.5,Cotton,Wheat
Summer,Hilly,Silt,Groundwater,39.6,Cotton,Sugarcane
Summer,Coastal,Sandy,Rainfed,16.4,Wheat,Cotton
Monsoon,Plain,Loam,Irrigated,16.6,Cotton,Rice
Winter,Coastal,Loam,Groundwater,24.0,Cotton,Wheat
Summer,Hilly,Loam,Groundwater,24.0,Rice,Maize
Monsoon,Coastal,Silt,Irrigated,37.7,Rice,Groundnut
Monsoon,Hilly,Silt,Groundwater,21.8,Rice,Groundnut
Summer,Hilly,Sandy,Irrigated,43.6,Rice,Cotton
Monsoon,Coastal,Silt,Rainfed,28.8,Rice,Groundnut
Summer,Plain,Silt,Irrigated,19.7,Corn,Sugarcane
Monsoon,Hilly,Sandy,Groundwater,23.0,Sugarcane,Soybean
Monsoon,Coastal,Sandy,Irrigated,1.9,Wheat,Soybean
Monsoon,Coastal,Clay,Groundwater,7.0,Sugarcane,Paddy
Monsoon,Coastal,Clay,Groundwater,8.1,Sugarcane,Paddy
Winter,Coastal,Loam,Irrigated,22.2,Wheat,Wheat
Monsoon,Hilly,Loam,Irrigated,29.2,Sugarcane,Rice
Monsoon,Plain,Silt,Rainfed,2.0,Soybean,Groundnut
Monsoon,Plain,Silt,Rainfed,28.9,Wheat,Groundnut
Monsoon,Plain,Sandy,Rainfed,43.0,Wheat,Soybean
Summer,Hilly,Sandy,Irrigated,29.3,Soybean,Cotton
Winter,Hilly,Sandy,Irrigated,16.2,Sugarcane,Barley
Summer,Plain,Silt,Irrigated,31.0,Sugarcane,Sugarcane
Monsoon,Plain,Sandy,Irrigated,7.1,Cotton,Soybean
Winter,Hilly,Loam,Irrigated,19.5,Wheat,Wheat
Summer,Coastal,Clay,Irrigated,44.7,Soybean,Rice
Summer,Coastal,Clay,Rainfed,48.5,Rice,Rice
Summer,Coastal,Silt,Rainfed,23.6,Rice,Sugarcane
Winter,Plain,Sandy,Groundwater,1.5,Sugarcane,Barley
Summer,Plain,Clay,Groundwater,30.9,Wheat,Rice
Summer,Hilly,Clay,Irrigated,34.3,Corn,Rice
Summer,Plain,Sandy,Groundwater,46.0,Sugarcane,Cotton
Summer,Coastal,Clay,Rainfed,23.1,Cotton,Rice
Summer,Coastal,Sandy,Irrigated,11.0,Soybean,Cotton
Summer,Plain,Loam,Groundwater,12.4,Sugarcane,Maize
Monsoon,Coastal,Clay,Irrigated,31.4,Corn,Paddy
Monsoon,Hilly,Sandy,Rainfed,2.7,Wheat,Soybean
Summer,Coastal,Loam,Rainfed,43.8,Corn,Maize
Winter,Coastal,Sandy,Groundwater,45.8,Corn,Barley
Summer,Coastal,Sandy,Groundwater,8.7,Corn,Cotton
Monsoon,Coastal,Sandy,Rainfed,16.1,Soybean,Soybean
Monsoon,Plain,Loam,Irrigated,29.2,Cotton,Rice
Summer,Coastal,Silt,Groundwater,29.8,Cotton,Sugarcane
Winter,Coastal,Loam,Groundwater,34.4,Sugarcane,Wheat
Winter,Coastal,Silt,Groundwater,49.6,Sugarcane,Pea
Summer,Plain,Clay,Rainfed,45.1,Cotton,Rice
Winter,Hilly,Sandy,Irrigated,7.5,Soybean,Barley
Monsoon,Hilly,Sandy,Irrigated,44.5,Rice,Soybean
Monsoon,Hilly,Loam,Irrigated,26.9,Corn,Rice
Winter,Coastal,Silt,Groundwater,48.5,Corn,Pea
Winter,Plain,Clay,Irrigated,38.5,Cotton,Mustard
Monsoon,Plain,Loam,Rainfed,14.5,Wheat,Rice
Winter,Plain,Sandy,Rainfed,5.4,Sugarcane,Barley
Monsoon,Plain,Loam,Groundwater,8.7,Soybean,Rice
Winter,Plain,Loam,Irrigated,29.6,Cotton,Wheat
Winter,Plain,Silt,Irrigated,24.3,Rice,Pea
Monsoon,Plain,Loam,Irrigated,10.9,Wheat,Rice
Summer,Coastal,Sandy,Irrigated,10.1,Rice,Cotton
Winter,Coastal,Loam,Rainfed,6.0,Rice,Wheat
Summer,Coastal,Loam,Irrigated,44.8,Sugarcane,Maize
Summer,Plain,Clay,Rainfed,22.9,Rice,Rice
Summer,Hilly,Silt,Irrigated,29.2,Corn,Sugarcane
Monsoon,Plain,Clay,Irrigated,49.7,Sugarcane,Paddy
Winter,Plain,Silt,Irrigated,22.8,Sugarcane,Pea
Winter,Hilly,Silt,Groundwater,11.1,Corn,Pea
Winter,Coastal,Loam,Groundwater,25.8,Soybean,Wheat
Summer,Plain,Sandy,Groundwater,8.7,Corn,Cotton
Monsoon,Coastal,Sandy,Rainfed,33.3,Corn,Soybean
Winter,Hilly,Silt,Irrigated,49.2,Soybean,Pea
Winter,Coastal,Loam,Irrigated,13.3,Soybean,Wheat
Summer,Coastal,Sandy,Rainfed,31.9,Sugarcane,Cotton
Winter,Coastal,Sandy,Rainfed,38.5,Soybean,Barley
Monsoon,Coastal,Clay,Groundwater,7.9,Corn,Paddy
Winter,Plain,Clay,Groundwater,37.5,Sugarcane,Mustard
Monsoon,Coastal,Silt,Rainfed,40.8,Wheat,Groundnut
Summer,Hilly,Clay,Rainfed,14.7,Wheat,Rice
Monsoon,Plain,Loam,Rainfed,46.1,Soybean,Rice
Monsoon,Coastal,Sandy,Irrigated,36.0,Wheat,Soybean
Winter,Coastal,Silt,Irrigated,13.1,Corn,Pea
Winter,Hilly,Clay,Groundwater,44.9,Cotton,Mustard
Monsoon,Coastal,Sandy,Rainfed,27.7,Wheat,Soybean
Summer,Plain,Silt,Irrigated,5.0,Soybean,Sugarcane
Monsoon,Coastal,Loam,Rainfed,36.7,Cotton,Rice
Winter,Plain,Silt,Rainfed,33.2,Rice,Pea
Winter,Hilly,Clay,Groundwater,36.6,Rice,Mustard
Winter,Plain,Loam,Irrigated,40.2,Corn,Wheat
Winter,Coastal,Sandy,Irrigated,33.4,Cotton,Barley
Monsoon,Plain,Loam,Groundwater,45.7,Wheat,Rice
Monsoon,Coastal,Loam,Irrigated,16.5,Sugarcane,Rice
Summer,Plain,Sandy,Groundwater,3.3,Corn,Cotton
Winter,Plain,Loam,Rainfed,18.3,Soybean,Wheat
Summer,Plain,Clay,Groundwater,10.0,Rice,Rice
Monsoon,Hilly,Loam,Irrigated,39.3,Rice,Rice
Winter,Plain,Sandy,Rainfed,37.3,Cotton,Barley
Winter,Plain,Loam,Rainfed,24.2,Rice,Wheat
Monsoon,Plain,Sandy,Groundwater,2.3,Rice,Soybean
Winter,Hilly,Clay,Irrigated,36.4,Cotton,Mustard
Winter,Plain,Clay,Groundwater,49.0,Wheat,Mustard
Monsoon,Plain,Silt,Groundwater,44.2,Corn,Groundnut
Monsoon,Coastal,Clay,Irrigated,18.6,Rice,Paddy
Winter,Plain,Silt,Irrigated,28.9,Sugarcane,Pea
Winter,Coastal,Sandy,Groundwater,29.5,Corn,Barley
Monsoon,Plain,Silt,Rainfed,3.7,Wheat,Groundnut
Winter,Plain,Sandy,Rainfed,5.9,Wheat,Barley
Winter,Hilly,Clay,Irrigated,10.3,Corn,Mustard
Monsoon,Plain,Silt,Groundwater,47.3,Cotton,Groundnut
Winter,Plain,Silt,Irrigated,30.9,Rice,Pea
Monsoon,Coastal,Clay,Rainfed,14.5,Rice,Paddy
Monsoon,Coastal,Loam,Groundwater,1.9,Cotton,Rice
Monsoon,Plain,Silt,Rainfed,34.9,Rice,Groundnut
Summer,Hilly,Sandy,Rainfed,18.8,Rice,Cotton
Summer,Coastal,Loam,Groundwater,22.2,Sugarcane,Maize
Monsoon,Hilly,Loam,Groundwater,11.8,Soybean,Rice
Monsoon,Plain,Sandy,Groundwater,47.0,Sugarcane,Soybean
Winter,Plain,Sandy,Rainfed,32.8,Wheat,Barley
Summer,Hilly,Sandy,Groundwater,32.8,Wheat,Cotton
Summer,Coastal,Loam,Rainfed,42.0,Rice,Maize
Monsoon,Coastal,Clay,Irrigated,48.4,Sugarcane,Paddy
Winter,Plain,Sandy,Groundwater,44.1,Cotton,Barley
Summer,Plain,Clay,Rainfed,11.8,Rice,Rice
Monsoon,Hilly,Silt,Rainfed,11.9,Soybean,Groundnut
Winter,Hilly,Sandy,Rainfed,14.4,Rice,Barley
Summer,Coastal,Sandy,Irrigated,2.1,Sugarcane,Cotton
Monsoon,Hilly,Silt,Groundwater,47.3,Soybean,Groundnut
Winter,Coastal,Sandy,Rainfed,47.2,Sugarcane,Barley
Monsoon,Hilly,Loam,Groundwater,32.6,Soybean,Rice
Winter,Plain,Sandy,Rainfed,24.2,Rice,Barley
Summer,Hilly,Loam,Groundwater,6.8,Cotton,Maize
Winter,Coastal,Silt,Irrigated,19.4,Wheat,Pea
Winter,Hilly,Clay,Groundwater,24.7,Corn,Mustard
Monsoon,Hilly,Sandy,Groundwater,26.8,Rice,Soybean
Monsoon,Hilly,Loam,Rainfed,20.5,Rice,Rice
Monsoon,Plain,Loam,Groundwater,1.5,Cotton,Rice
Summer,Coastal,Sandy,Rainfed,29.5,Cotton,Cotton
Summer,Coastal,Loam,Irrigated,13.6,Cotton,Maize
Monsoon,Hilly,Loam,Groundwater,19.8,Soybean,Rice
Summer,Hilly,Clay,Rainfed,46.4,Wheat,Rice
Winter,Plain,Clay,Irrigated,30.0,Corn,Mustard
Winter,Plain,Silt,Groundwater,5.7,Wheat,Pea
Winter,Coastal,Clay,Rainfed,26.2,Corn,Mustard
Summer,Plain,Silt,Rainfed,7.9,Corn,Sugarcane
Winter,Hilly,Clay,Irrigated,3.0,Corn,Mustard
Winter,Hilly,Sandy,Groundwater,4.8,Rice,Barley
Summer,Coastal,Sandy,Rainfed,2.0,Wheat,Cotton
Monsoon,Coastal,Sandy,Irrigated,14.8,Wheat,Soybean
Monsoon,Plain,Silt,Groundwater,20.3,Rice,Groundnut
Summer,Plain,Loam,Groundwater,28.9,Corn,Maize
Summer,Plain,Silt,Rainfed,4.0,Sugarcane,Sugarcane
Summer,Coastal,Clay,Irrigated,11.8,Soybean,Rice
Winter,Plain,Sandy,Groundwater,24.5,Sugarcane,Barley
Monsoon,Coastal,Sandy,Rainfed,17.9,Cotton,Soybean
Winter,Hilly,Clay,Rainfed,8.8,Soybean,Mustard
Winter,Hilly,Sandy,Groundwater,18.1,Rice,Barley
Winter,Coastal,Clay,Groundwater,38.4,Soybean,Mustard
Winter,Coastal,Clay,Irrigated,48.3,Sugarcane,Mustard
Summer,Hilly,Clay,Groundwater,33.7,Sugarcane,Rice
Winter,Plain,Silt,Groundwater,14.1,Rice,Pea
Monsoon,Plain,Loam,Groundwater,13.1,Rice,Rice
Monsoon,Hilly,Loam,Irrigated,17.6,Rice,Rice
Monsoon,Plain,Loam,Groundwater,46.9,Rice,Rice
Summer,Plain,Silt,Groundwater,2.2,Rice,Sugarcane
Summer,Coastal,Loam,Irrigated,13.0,Rice,Maize
Winter,Hilly,Silt,Rainfed,37.6,Wheat,Pea
Summer,Plain,Sandy,Irrigated,16.1,Rice,Cotton
Winter,Plain,Clay,Groundwater,2.6,Wheat,Mustard
Monsoon,Coastal,Sandy,Irrigated,44.9,Corn,Soybean
Summer,Hilly,Loam,Groundwater,45.5,Soybean,Maize
Monsoon,Hilly,Silt,Irrigated,22.0,Rice,Groundnut
Winter,Hilly,Loam,Rainfed,4.3,Corn,Wheat
Summer,Plain,Silt,Groundwater,22.7,Soybean,Sugarcane
Summer,Hilly,Silt,Groundwater,46.9,Soybean,Sugarcane
Monsoon,Plain,Clay,Irrigated,43.6,Corn,Paddy
Monsoon,Coastal,Clay,Groundwater,10.9,Wheat,Paddy
Winter,Hilly,Sandy,Rainfed,8.0,Rice,Barley
Summer,Hilly,Loam,Rainfed,45.1,Soybean,Maize
Monsoon,Plain,Loam,Rainfed,35.8,Wheat,Rice
Summer,Plain,Loam,Rainfed,5.9,Wheat,Maize
Monsoon,Hilly,Loam,Groundwater,40.2,Cotton,Rice
Monsoon,Hilly,Silt,Irrigated,2.4,Soybean,Groundnut
Summer,Plain,Loam,Rainfed,43.2,Rice,Maize
Monsoon,Coastal,Sandy,Irrigated,28.1,Corn,Soybean
Winter,Coastal,Loam,Irrigated,37.6,Rice,Wheat
Monsoon,Coastal,Silt,Groundwater,12.4,Corn,Groundnut
Winter,Plain,Clay,Rainfed,34.6,Wheat,Mustard
Monsoon,Plain,Sandy,Irrigated,42.2,Cotton,Soybean
Summer,Hilly,Clay,Groundwater,22.5,Cotton,Rice
Winter,Hilly,Silt,Groundwater,24.3,Sugarcane,Pea
Winter,Coastal,Silt,Irrigated,4.1,Cotton,Pea
Winter,Hilly,Clay,Irrigated,21.5,Rice,Mustard
Monsoon,Plain,Silt,Irrigated,36.5,Sugarcane,Groundnut
Winter,Plain,Loam,Groundwater,48.2,Wheat,Wheat
Monsoon,Plain,Loam,Rainfed,22.9,Soybean,Rice
Monsoon,Hilly,Loam,Irrigated,17.5,Soybean,Rice
Monsoon,Plain,Loam,Irrigated,9.5,Rice,Rice
Winter,Plain,Sandy,Groundwater,23.5,Rice,Barley
Winter,Hilly,Loam,Rainfed,4.1,Rice,Wheat
Winter,Coastal,Clay,Irrigated,10.7,Corn,Mustard
Monsoon,Hilly,Silt,Groundwater,4.2,Wheat,Groundnut
Monsoon,Plain,Silt,Irrigated,2.3,Cotton,Groundnut
Summer,Plain,Silt,Irrigated,44.9,Corn,Sugarcane
Winter,Plain,Sandy,Rainfed,9.8,Sugarcane,Barley
Monsoon,Hilly,Silt,Rainfed,47.4,Rice,Groundnut
Monsoon,Hilly,Sandy,Groundwater,47.9,Wheat,Soybean
Summer,Hilly,Loam,Groundwater,25.8,Cotton,Maize
Summer,Hilly,Loam,Groundwater,39.1,Rice,Maize
Winter,Coastal,Loam,Groundwater,26.5,Wheat,Wheat
Winter,Plain,Clay,Irrigated,10.8,Wheat,Mustard
Summer,Coastal,Silt,Groundwater,22.0,Cotton,Sugarcane
Summer,Coastal,Clay,Groundwater,42.8,Sugarcane,Rice
Monsoon,Plain,Silt,Irrigated,34.3,Soybean,Groundnut
Winter,Coastal,Clay,Groundwater,26.0,Cotton,Mustard
Summer,Plain,Clay,Rainfed,20.4,Corn,Rice
Summer,Hilly,Loam,Irrigated,22.7,Corn,Maize
Monsoon,Plain,Silt,Groundwater,45.4,Cotton,Groundnut
Winter,Plain,Clay,Rainfed,29.9,Soybean,Mustard
Summer,Hilly,Silt,Rainfed,31.7,Sugarcane,Sugarcane
Winter,Hilly,Sandy,Groundwater,47.0,Cotton,Barley
Monsoon,Coastal,Sandy,Rainfed,18.1,Soybean,Soybean
Winter,Plain,Clay,Rainfed,13.2,Wheat,Mustard
Monsoon,Coastal,Clay,Groundwater,39.8,Soybean,Paddy
Winter,Plain,Silt,Irrigated,12.3,Cotton,Pea
Winter,Hilly,Clay,Rainfed,20.7,Cotton,Mustard
Winter,Coastal,Sandy,Irrigated,1.7,Soybean,Barley
Winter,Plain,Silt,Rainfed,42.1,Wheat,Pea
Summer,Plain,Silt,Irrigated,29.7,Sugarcane,Sugarcane
Monsoon,Hilly,Sandy,Groundwater,20.9,Corn,Soybean
Winter,Plain,Loam,Groundwater,2.0,Wheat,Wheat
Monsoon,Plain,Silt,Groundwater,44.2,Cotton,Groundnut
Monsoon,Plain,Clay,Rainfed,40.6,Corn,Paddy
Summer,Coastal,Sandy,Groundwater,2.9,Wheat,Cotton
Summer,Hilly,Clay,Irrigated,19.1,Rice,Rice
Summer,Plain,Loam,Irrigated,42.8,Rice,Maize
Winter,Plain,Loam,Irrigated,6.7,Corn,Wheat
Monsoon,Plain,Clay,Rainfed,31.0,Wheat,Paddy
Monsoon,Coastal,Silt,Groundwater,26.0,Sugarcane,Groundnut
Winter,Plain,Silt,Groundwater,2.4,Soybean,Pea
Monsoon,Hilly,Loam,Groundwater,30.4,Rice,Rice
Monsoon,Plain,Sandy,Irrigated,10.1,Cotton,Soybean
Monsoon,Coastal,Clay,Rainfed,45.5,Soybean,Paddy
Summer,Coastal,Clay,Groundwater,9.7,Soybean,Rice
Winter,Coastal,Silt,Irrigated,19.3,Wheat,Pea
Summer,Hilly,Silt,Groundwater,38.4,Wheat,Sugarcane
Monsoon,Plain,Sandy,Irrigated,48.0,Wheat,Soybean
Monsoon,Coastal,Loam,Rainfed,42.8,Rice,Rice
Winter,Coastal,Loam,Rainfed,41.4,Soybean,Wheat
Summer,Plain,Loam,Irrigated,7.3,Corn,Maize
Winter,Coastal,Loam,Groundwater,3.3,Cotton,Wheat
Monsoon,Coastal,Loam,Groundwater,40.7,Wheat,Rice
Summer,Coastal,Clay,Groundwater,27.7,Sugarcane,Rice
Summer,Plain,Silt,Groundwater,39.3,Corn,Sugarcane
Monsoon,Hilly,Clay,Groundwater,25.3,Cotton,Paddy
Monsoon,Coastal,Clay,Groundwater,41.8,Wheat,Paddy
Summer,Coastal,Silt,Rainfed,26.6,Soybean,Sugarcane
Monsoon,Plain,Sandy,Groundwater,44.9,Rice,Soybean
Summer,Coastal,Silt,Groundwater,47.3,Soybean,Sugarcane
Winter,Hilly,Silt,Irrigated,35.7,Rice,Pea
Winter,Coastal,Clay,Irrigated,34.9,Soybean,Mustard
Monsoon,Plain,Clay,Rainfed,4.4,Corn,Paddy
Winter,Coastal,Loam,Groundwater,32.7,Rice,Wheat
Summer,Plain,Silt,Irrigated,17.3,Rice,Sugarcane
Monsoon,Hilly,Silt,Irrigated,11.9,Sugarcane,Groundnut
Monsoon,Hilly,Sandy,Irrigated,35.4,Sugarcane,Soybean
Winter,Coastal,Silt,Groundwater,11.2,Sugarcane,Pea
Monsoon,Plain,Silt,Groundwater,35.2,Rice,Groundnut
Monsoon,Plain,Clay,Irrigated,49.4,Rice,Paddy
Monsoon,Plain,Clay,Rainfed,5.5,Corn,Paddy
Monsoon,Plain,Sandy,Irrigated,8.3,Corn,Soybean
Winter,Coastal,Loam,Irrigated,4.9,Rice,Wheat
Summer,Hilly,Sandy,Groundwater,22.9,Wheat,Cotton
Monsoon,Plain,Clay,Rainfed,14.5,Corn,Paddy
Summer,Hilly,Sandy,Irrigated,48.1,Sugarcane,Cotton
Summer,Plain,Sandy,Irrigated,48.2,Rice,Cotton
Winter,Coastal,Loam,Irrigated,16.5,Rice,Wheat
Summer,Hilly,Silt,Irrigated,34.8,Corn,Sugarcane
Monsoon,Hilly,Loam,Irrigated,28.9,Corn,Rice
Winter,Hilly,Sandy,Groundwater,8.2,Rice,Barley
Summer,Hilly,Clay,Rainfed,37.6,Soybean,Rice
Monsoon,Plain,Loam,Groundwater,33.9,Corn,Rice
Summer,Hilly,Clay,Irrigated,1.5,Rice,Rice
Monsoon,Coastal,Silt,Rainfed,23.5,Sugarcane,Groundnut
Monsoon,Hilly,Clay,Irrigated,32.4,Rice,Paddy
Summer,Plain,Clay,Rainfed,6.9,Wheat,Rice
Winter,Coastal,Sandy,Irrigated,17.0,Wheat,Barley
Summer,Plain,Silt,Irrigated,27.8,Rice,Sugarcane
Winter,Plain,Sandy,Groundwater,39.7,Soybean,Barley
Winter,Hilly,Clay,Groundwater,40.6,Sugarcane,Mustard
Winter,Plain,Silt,Irrigated,8.1,Soybean,Pea
Summer,Plain,Loam,Irrigated,6.6,Corn,Maize
Winter,Coastal,Clay,Irrigated,21.4,Rice,Mustard
Monsoon,Coastal,Loam,Rainfed,34.8,Corn,Rice
Monsoon,Coastal,Silt,Irrigated,47.1,Sugarcane,Groundnut
Winter,Plain,Silt,Groundwater,1.3,Wheat,Pea
Winter,Hilly,Clay,Rainfed,4.0,Cotton,Mustard
Monsoon,Hilly,Sandy,Groundwater,37.2,Soybean,Soybean
Monsoon,Plain,Clay,Rainfed,22.8,Sugarcane,Paddy
Summer,Coastal,Sandy,Irrigated,44.4,Cotton,Cotton
Monsoon,Hilly,Silt,Groundwater,40.1,Cotton,Groundnut
Monsoon,Plain,Sandy,Groundwater,21.1,Wheat,Soybean
Monsoon,Hilly,Sandy,Irrigated,7.3,Wheat,Soybean
Monsoon,Hilly,Loam,Irrigated,45.1,Sugarcane,Rice
Summer,Hilly,Sandy,Rainfed,42.2,Rice,Cotton
Summer,Coastal,Clay,Rainfed,48.1,Soybean,Rice
Winter,Coastal,Clay,Irrigated,43.2,Wheat,Mustard
Winter,Plain,Loam,Rainfed,18.3,Sugarcane,Wheat
Summer,Coastal,Clay,Irrigated,29.6,Cotton,Rice
Monsoon,Hilly,Sandy,Rainfed,28.6,Cotton,Soybean
Winter,Coastal,Sandy,Irrigated,46.9,Rice,Barley
Winter,Hilly,Clay,Rainfed,31.8,Corn,Mustard
Winter,Plain,Sandy,Irrigated,29.6,Soybean,Barley
Winter,Hilly,Silt,Irrigated,30.1,Soybean,Pea
Summer,Plain,Loam,Groundwater,48.3,Wheat,Maize
Summer,Coastal,Silt,Irrigated,18.2,Sugarcane,Sugarcane
Monsoon,Hilly,Clay,Irrigated,11.8,Corn,Paddy
Winter,Plain,Sandy,Irrigated,42.5,Corn,Barley
Summer,Plain,Clay,Rainfed,19.2,Cotton,Rice
Winter,Coastal,Sandy,Rainfed,30.9,Wheat,Barley
Monsoon,Plain,Silt,Rainfed,43.9,Soybean,Groundnut
Monsoon,Plain,Silt,Groundwater,31.3,Soybean,Groundnut
Summer,Coastal,Sandy,Irrigated,22.9,Sugarcane,Cotton
Winter,Coastal,Loam,Irrigated,7.0,Soybean,Wheat
Summer,Coastal,Loam,Rainfed,7.6,Soybean,Maize
Monsoon,Coastal,Clay,Rainfed,25.6,Cotton,Paddy
Winter,Plain,Silt,Groundwater,31.6,Wheat,Pea
Monsoon,Hilly,Silt,Rainfed,4.1,Wheat,Groundnut
