Crop Type,Soil Moisture Level,Growth Day,Weather Forecast,Disease Presence,Maintenance Details
Rice,High,102,Rainy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,28,Sunny,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,82,Sunny,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,72,Sunny,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,56,Cloudy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,116,Cloudy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,4,Rainy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,92,Rainy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,45,Windy,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,Medium,3,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,105,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,64,Cloudy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,65,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,73,Windy,Mild,Sugarcane requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,High,118,Cloudy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,94,Cloudy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,95,Windy,Severe,Maize requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,10,Cloudy,None,Sugarcane requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,31,Cloudy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,5,Sunny,None,Millets requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,55,Cloudy,Severe,Millets requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,1,Windy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,32,Sunny,Moderate,Cotton requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,22,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,12,Cloudy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,26,Windy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,Low,1,Cloudy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Low,109,Sunny,Severe,Groundnut requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,42,Windy,Moderate,Wheat requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,43,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,83,Rainy,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,21,Rainy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,14,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Low,61,Rainy,Mild,Barley requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,63,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,99,Windy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Barley,Low,86,Cloudy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,33,Sunny,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,118,Windy,Moderate,Barley requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Millets,Low,97,Windy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,High,96,Windy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,96,Sunny,Severe,Groundnut requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,83,Sunny,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,40,Rainy,Mild,Wheat requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,115,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,37,Sunny,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,43,Sunny,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,93,Sunny,Mild,Maize requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,25,Cloudy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,80,Windy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,29,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,106,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,18,Windy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Low,95,Sunny,Moderate,Cotton requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,113,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Low,78,Cloudy,Moderate,Maize requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,115,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,93,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Wheat,High,12,Cloudy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,5,Cloudy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Medium,74,Windy,Severe,Cotton requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,15,Sunny,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,116,Windy,Severe,Sugarcane requires attention due to severe disease presence. Use suitable fertilizers and pest control as needed.
Cotton,High,87,Cloudy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,5,Cloudy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,90,Windy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Sugarcane,High,56,Sunny,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,High,15,Sunny,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,7,Windy,Mild,Barley requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Cotton,Low,105,Windy,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Medium,68,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Maize,Medium,89,Rainy,Moderate,Maize requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,67,Rainy,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,55,Sunny,Severe,Rice requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,98,Cloudy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,78,Sunny,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,36,Cloudy,Mild,Maize requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,23,Windy,None,Groundnut requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,32,Sunny,Mild,Groundnut requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,108,Rainy,None,Sugarcane requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,45,Windy,Severe,Barley requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Wheat,Medium,114,Rainy,Moderate,Wheat requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,120,Cloudy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,29,Sunny,None,Rice requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,108,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,High,12,Sunny,Severe,Maize requires attention due to severe disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Medium,97,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,106,Cloudy,None,Millets requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,13,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Low,15,Windy,Moderate,Barley requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,28,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Medium,52,Sunny,Moderate,Cotton requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,High,92,Windy,Mild,Rice requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,High,93,Cloudy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,118,Rainy,Severe,Wheat requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,High,111,Windy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Groundnut,High,62,Rainy,Moderate,Groundnut requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,6,Cloudy,Severe,Wheat requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,45,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,24,Cloudy,Mild,Rice requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,35,Sunny,Moderate,Wheat requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,High,52,Rainy,None,Wheat requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,63,Cloudy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,48,Rainy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,53,Rainy,None,Millets requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,58,Sunny,None,Sugarcane requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,109,Rainy,Severe,Millets requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,34,Cloudy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Low,52,Windy,Moderate,Rice requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Maize,High,71,Cloudy,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,1,Sunny,None,Millets requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Cotton,Low,77,Rainy,Mild,Cotton requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,17,Sunny,Mild,Maize requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,High,51,Windy,Moderate,Millets requires attention due to moderate disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Maize,High,77,Sunny,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,78,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,High,1,Rainy,Moderate,Sugarcane requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Medium,26,Sunny,None,Wheat requires attention due to none disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Barley,Medium,56,Windy,Mild,Barley requires attention due to mild disease presence. Use suitable fertilizers and pest control as needed.
Millets,Low,33,Sunny,None,Millets requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,73,Windy,Mild,Sugarcane requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,Low,72,Sunny,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Medium,27,Windy,Moderate,Maize requires attention due to moderate disease presence. Use suitable fertilizers and pest control as needed.
Sugarcane,High,1,Rainy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,2,Cloudy,None,Barley requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,High,109,Rainy,Mild,Millets requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,3,Rainy,Moderate,Rice requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,2,Sunny,Mild,Millets requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,1,Windy,Severe,Sugarcane requires attention due to severe disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Millets,Medium,97,Rainy,Moderate,Millets requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,58,Cloudy,Moderate,Millets requires attention due to moderate disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,Low,54,Sunny,Severe,Cotton requires attention due to severe disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,75,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,17,Sunny,Mild,Groundnut requires attention due to mild disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Medium,59,Sunny,Severe,Wheat requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Maize,Low,49,Cloudy,None,Maize requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Wheat,Low,103,Cloudy,None,Wheat requires attention due to none disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,2,Rainy,Moderate,Cotton requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,86,Cloudy,Moderate,Sugarcane requires attention due to moderate disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,High,16,Rainy,None,Maize requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,104,Windy,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Groundnut,High,83,Rainy,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,15,Sunny,Moderate,Sugarcane requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Millets,Low,99,Windy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Rice,Low,60,Windy,None,Rice requires attention due to none disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,High,43,Cloudy,Severe,Cotton requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,47,Rainy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Medium,69,Sunny,Moderate,Millets requires attention due to moderate disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,Low,101,Sunny,Moderate,Groundnut requires attention due to moderate disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,Low,47,Rainy,Severe,Sugarcane requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,14,Windy,None,Cotton requires attention due to none disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Cotton,Medium,45,Windy,None,Cotton requires attention due to none disease presence. Use suitable fertilizers and pest control as needed.
Wheat,High,114,Cloudy,Severe,Wheat requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Cotton,High,56,Cloudy,Mild,Cotton requires attention due to mild disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,Medium,50,Sunny,Severe,Barley requires attention due to severe disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Rice,Low,101,Rainy,Severe,Rice requires attention due to severe disease presence. Ensure proper irrigation. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,75,Cloudy,Mild,Sugarcane requires attention due to mild disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Maize,Medium,54,Sunny,Mild,Maize requires attention due to mild disease presence. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Wheat,Low,112,Windy,Mild,Wheat requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Cotton,Low,53,Sunny,None,Cotton requires attention due to none disease presence. Ensure proper irrigation. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Groundnut,High,55,Rainy,None,Groundnut requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,118,Rainy,None,Barley requires attention due to none disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,Medium,99,Rainy,None,Rice requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Rice,High,61,Sunny,Moderate,Rice requires attention due to moderate disease presence. Monitor for waterlogging. Ensure sufficient watering and shade if necessary. Use suitable fertilizers and pest control as needed.
Sugarcane,High,115,Windy,Mild,Sugarcane requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,High,27,Windy,Mild,Barley requires attention due to mild disease presence. Monitor for waterlogging. Use suitable fertilizers and pest control as needed.
Barley,Low,25,Windy,Severe,Barley requires attention due to severe disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
Wheat,High,19,Cloudy,Moderate,Wheat requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Groundnut,High,5,Cloudy,Severe,Groundnut requires attention due to severe disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Barley,High,6,Cloudy,Moderate,Barley requires attention due to moderate disease presence. Monitor for waterlogging. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Sugarcane,Medium,113,Rainy,None,Sugarcane requires attention due to none disease presence. Protect against fungal infections. Use suitable fertilizers and pest control as needed.
Millets,Low,82,Windy,Mild,Millets requires attention due to mild disease presence. Ensure proper irrigation. Use suitable fertilizers and pest control as needed.
